Versao,Ano_Fabricacao,Ano_Modelo,Quilometragem,Cambio,Preco_Real,Percentual_FIPE
2.0 XEI 16V FLEX 4P AUTOMÁTICO,2010,2011,206000,Automático,54900.0,94.0
1.8 VVT-I HYBRID FLEX ALTIS PREMIUM CVT,2021,2022,16000,Automático,150000.0,111.0
1.8 XEI 16V FLEX 4P AUTOMÁTICO,2010,2010,128000,Automático,54990.0,99.0
1.8 GLI 16V FLEX 4P AUTOMÁTICO,2016,2017,59570,Automático,83000.0,102.0
1.8 GLI 16V FLEX 4P AUTOMÁTICO,2016,2017,147000,Automático,75000.0,92.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2023,2023,39052,Automático,127800.0,100.0
2.0 VVT-IE FLEX ALTIS DIRECT SHIFT,2020,2021,64000,Automático,136000.0,104.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2023,2023,23000,Automático,142900.0,112.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2024,2024,49000,Automático,133800.0,94.0
2.0 VVT-IE FLEX GLI DIRECT SHIFT,2024,2025,8000,Automático,146790.0,102.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2020,2021,162000,Automático,110900.0,93.0
1.8 GLI 16V FLEX 4P AUTOMÁTICO,2017,2018,73000,Automático,88990.0,104.0
2.0 VVT-IE FLEX XEI DIRECT SHIFT,2023,2023,47000,Automático,125000.0,98.0
1.8 GLI 16V FLEX 4P AUTOMÁTICO,2017,2018,122000,Automático,82000.0,96.0
2.0 XEI 16V FLEX 4P AUTOMÁTICO,2014,2014,140000,Automático,74900.0,107.0
2.0 VVT-IE FLEX GLI DIRECT SHIFT,2025,2025,17000,Automático,143900.0,100.0
1.8 VVT-I HYBRID FLEX ALTIS PREMIUM CVT,2023,2023,26000,Automático,149900.0,104.0
2.0 XEI 16V FLEX 4P AUTOMÁTICO,2014,2015,109388,Automático,89900.0,110.0
2.0 ALTIS 16V FLEX 4P AUTOMÁTICO,2014,2015,121000,Automático,85000.0,102.0
2.0 VVT-IE FLEX GLI DIRECT SHIFT,2023,2024,33359,Automático,124880.0,99.0
